description,amount,category
Railway Ticket Online,149.49,Transportation
Airtel - Purchase,389.69,Utilities
Airtel #123,76.94,Utilities
PVR Cinemas #123,312.54,Entertainment
CVS Pharmacy Store,91.14,Healthcare
Spotify - Purchase,377.21,Entertainment
Amazon Prime Store,380.02,Entertainment
Railway Ticket Store,350.7,Transportation
Online Course Downtown,398.98,Education
Gas Station #123,418.33,Fuel
Online Course Downtown,482.39,Education
Food Court,233.19,Coffee/Dining
Spotify,244.22,Entertainment
Swimming Pool #123,402.99,Fitness
Gym Membership,153.63,Fitness
Online Course,126.71,Education
Whole Foods,392.92,Groceries
Book Store,437.71,Education
Electric Bill Downtown,70.4,Utilities
Flipkart Store,225.83,Shopping
Toll Plaza Store,356.81,Transportation
Indian Oil #123,303.07,Fuel
Amazon Store,247.9,Shopping
Toll Plaza Downtown,166.79,Transportation
Reliance Fresh Downtown,375.55,Groceries
Grocery Store Online,7.97,Groceries
Bharat Petroleum,145.33,Fuel
Gym Membership Online,224.03,Fitness
Fitness Center Downtown,144.71,Fitness
Fitness Center #123,52.73,Fitness
Flipkart Downtown,250.24,Shopping
Indian Oil Downtown,341.61,Fuel
Concert Ticket #123,40.74,Entertainment
Lab Test Downtown,172.19,Healthcare
Adidas Store,177.82,Shopping
HP Petrol - Purchase,78.67,Fuel
Concert Ticket Online,162.09,Entertainment
Railway Ticket,223.18,Transportation
Gym Membership - Purchase,194.55,Fitness
Cafe Coffee Day - Purchase,221.39,Coffee/Dining
Flipkart Downtown,321.3,Shopping
KFC Downtown,8.32,Coffee/Dining
Zara Online,219.53,Shopping
Yoga Studio Downtown,185.88,Fitness
Walmart Downtown,34.37,Groceries
Target #123,250.22,Groceries
Yoga Studio - Purchase,40.22,Fitness
Concert Ticket Store,474.86,Entertainment
Doctor Visit,239.92,Healthcare
Coursera Store,470.12,Education
Ola Cab,196.26,Transportation
Udemy - Purchase,137.02,Education
Whole Foods - Purchase,437.75,Groceries
Metro Card Store,299.82,Transportation
Starbucks - Purchase,272.51,Coffee/Dining
Pizza Hut Downtown,55.1,Coffee/Dining
Movie Theater Store,140.23,Entertainment
Local Restaurant - Purchase,397.87,Coffee/Dining
Walmart Store,456.43,Groceries
Coursera Downtown,400.37,Education
Target Store,271.38,Groceries
Subway,70.12,Coffee/Dining
Uber Online,124.54,Transportation
Grocery Store #123,192.82,Groceries
Netflix,107.07,Entertainment
Concert Ticket Downtown,380.96,Entertainment
Concert Ticket - Purchase,122.18,Entertainment
Coursera Online,224.16,Education
Starbucks - Purchase,170.26,Coffee/Dining
Bus Pass - Purchase,398.37,Transportation
BP Station Online,93.08,Fuel
Medical Center #123,279.31,Healthcare
Metro Card Online,191.78,Transportation
